Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.TypedOpt/con/1,4.662047736432558e-8,4.651655480759707e-8,4.675726581987736e-8,3.97685596343189e-10,3.0241120168001035e-10,5.364156640009182e-10
con/LocallyNameless.TypedOpt/con/2,7.850346340508759e-8,7.833524699722514e-8,7.889069968280809e-8,7.723684486311704e-10,4.483298517918264e-10,1.3496439860098154e-9
con/LocallyNameless.TypedOpt/con/3,1.0764914018752311e-7,1.0737727092310129e-7,1.083186377380472e-7,1.3608627624463795e-9,7.007006074671316e-10,2.4892972783462434e-9
con/LocallyNameless.TypedOpt/con/4,1.4102593284378953e-7,1.407201053410551e-7,1.4140415858436782e-7,1.0983311707288428e-9,9.063432333594784e-10,1.3688787632001279e-9
con/LocallyNameless.TypedOpt/con/5,1.7961516299102158e-7,1.7887172238692239e-7,1.8020715982098678e-7,2.277404133087885e-9,1.7758538494413816e-9,2.9452174705427608e-9
con/LocallyNameless.TypedOpt/con/6,2.0728280651492269e-7,2.070342866719873e-7,2.0782223306422454e-7,1.1984207773134704e-9,6.284512883369246e-10,2.0812208716108304e-9
con/LocallyNameless.TypedOpt/con/7,2.48691543980568e-7,2.481998985783198e-7,2.4928972802215827e-7,1.8585741013382728e-9,1.5206446806211597e-9,2.3484387850733305e-9
con/LocallyNameless.TypedOpt/con/8,2.8914564421454073e-7,2.885011247680892e-7,2.9016704500074156e-7,2.7940721802901475e-9,1.88681344888614e-9,3.882588645249406e-9
con/LocallyNameless.TypedOpt/con/9,3.178460070726057e-7,3.1742982100001423e-7,3.1897845601867763e-7,2.148930671996106e-9,8.61231585883528e-10,4.4942118455399556e-9
con/LocallyNameless.TypedOpt/con/10,3.5363581547680294e-7,3.530582406090492e-7,3.5448414972660207e-7,2.4716912873628534e-9,1.9278836664374e-9,3.1924358565969657e-9
con/LocallyNameless.TypedOpt/con/11,4.0202110255994883e-7,4.014322150424431e-7,4.028934623147813e-7,2.4774875230240243e-9,1.6621590900575456e-9,3.6903926444550727e-9
con/LocallyNameless.TypedOpt/con/12,4.4204201189640543e-7,4.4148266907622365e-7,4.426295470283257e-7,1.92117581224485e-9,1.6199941748632462e-9,2.3082433696219166e-9
con/LocallyNameless.TypedOpt/con/13,4.7544439281336585e-7,4.7450806915541934e-7,4.764736792080485e-7,3.334011582965898e-9,2.831458919822262e-9,3.993066301798403e-9
con/LocallyNameless.TypedOpt/con/14,5.101716106717457e-7,5.087066390119841e-7,5.136576605277329e-7,6.593316187799963e-9,3.2903582438800245e-9,1.3192618403675362e-8
con/LocallyNameless.TypedOpt/con/15,5.402343819742374e-7,5.395479335820564e-7,5.412905269998122e-7,2.7181141450136894e-9,1.8780875092132077e-9,4.429618866677469e-9
con/LocallyNameless.TypedOpt/con/16,5.766301089854207e-7,5.754613081608512e-7,5.782666202015589e-7,4.513032214743157e-9,3.127352094591521e-9,6.801986193290784e-9
con/LocallyNameless.TypedOpt/con/17,6.145640514189073e-7,6.133535402214879e-7,6.160384067688585e-7,4.651035813161119e-9,3.6364005715126013e-9,6.3931400537187655e-9
con/LocallyNameless.TypedOpt/con/18,6.483715611297812e-7,6.475312633494542e-7,6.49542878382554e-7,3.5460113320461605e-9,2.5218626047432896e-9,4.886982348658705e-9
con/LocallyNameless.TypedOpt/con/19,6.865293394353625e-7,6.849838398056429e-7,6.890723973055364e-7,6.696958895019803e-9,4.89753633217194e-9,8.927705030678141e-9
con/LocallyNameless.TypedOpt/con/20,7.210820187673632e-7,7.181258899762733e-7,7.255536746792333e-7,1.2082776804125768e-8,8.84794110627317e-9,1.792923735168359e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.TypedOpt/con/1,4.967960996818882e-8,4.9598379004739616e-8,4.993658164758567e-8,4.4512299515496636e-10,1.0575167761708514e-10,9.999185670927385e-10
con/LocallyNameless.TypedOpt/con/2,8.073681153687957e-8,8.059815871024938e-8,8.125219011535623e-8,8.359848730990652e-10,1.0621147863416047e-10,1.7677418431894925e-9
con/LocallyNameless.TypedOpt/con/3,1.1403643901713016e-7,1.1329868691245371e-7,1.1479464375955666e-7,2.600411057551441e-9,2.271762930543001e-9,2.9224864892850916e-9
con/LocallyNameless.TypedOpt/con/4,1.4529740485605162e-7,1.447981939042976e-7,1.458621861177884e-7,1.7242276868985982e-9,1.3659473620098173e-9,2.2061214756672344e-9
con/LocallyNameless.TypedOpt/con/5,1.7882405061674307e-7,1.7827912553687186e-7,1.7962211501177544e-7,2.2052534441528003e-9,1.6285942620090693e-9,2.8176478867568858e-9
con/LocallyNameless.TypedOpt/con/6,2.120050717278878e-7,2.1140314845373536e-7,2.1311733056231788e-7,2.6654868294901244e-9,1.3840136079226929e-9,5.230226670416502e-9
con/LocallyNameless.TypedOpt/con/7,2.5447789421559807e-7,2.539387970363322e-7,2.5581809962686427e-7,2.5428804232859882e-9,1.0033662956134125e-9,4.742491108822379e-9
con/LocallyNameless.TypedOpt/con/8,2.910083360633878e-7,2.904968350344547e-7,2.920492034010199e-7,2.413418447385227e-9,1.4107410141047363e-9,4.2287844368112645e-9
